,literal,grade,stroke_counts,freq,jlpt,ja_ons,ja_kuns,meanings,example,example_translation
224,計,2.0,9,228,3.0,['ケイ'],"['はか.る', 'はか.らう']","['plot', 'plan', 'scheme', 'measure']",一年の計は元旦にあり。,New Year's Day is the key to the year.
225,死,3.0,6,229,3.0,['シ'],"['し.ぬ', 'し.に-']","['death', 'die']",人間は死をのがれられない。,Man is unable to escape death.
226,官,4.0,8,230,2.0,['カン'],[],"['bureaucrat', 'the government', 'organ']",イギリスは警官が銃を携帯しない国です。,England is a land where the policemen carry no revolvers.
227,増,5.0,14,231,2.0,['ゾウ'],"['ま.す', 'ま.し', 'ふ.える', 'ふ.やす']","['increase', 'add', 'augment', 'gain', 'promote']",その国では人口の増加が深刻な問題になっている。,The increase in population has become a serious problem in the country.
228,係,3.0,9,232,2.0,['ケイ'],"['かか.る', 'かかり', '-がかり', 'かか.わる']","['person in charge', 'connection', 'duty', 'concern oneself']",彼は例のスキャンダルと関係があると思う。,I think he has something to do with that scandal.
229,感,3.0,13,233,2.0,['カン'],[],"['emotion', 'feeling', 'sensation']",満開をチョイ過ぎた感はありましたが、それでも、美しい桜を満喫してきました。,"They seem a little past their peak, but even so we enjoyed the beautiful cherry blossoms."
230,特,4.0,10,234,3.0,['トク'],[],['special'],この種の慣習はアジアの国々に独特のものだと思います。,I think this kind of custom is unique to Asian countries.
231,情,5.0,11,235,2.0,"['ジョウ', 'セイ']",['なさ.け'],"['feelings', 'emotion', 'passion', 'sympathy', 'circumstances', 'facts']",情は人のためならず。,One good turn deserves another.
232,投,3.0,7,236,2.0,['トウ'],"['な.げる', '-な.げ']","['throw', 'discard', 'abandon', 'launch into', 'join', 'invest in', 'hurl', 'give up', 'sell at a loss']",パーティーの席上、彼の政敵の一人が大勢の招待客の前で、彼を侮辱する言葉を彼に投げつけた。,"At the party, one of his political opponents humiliated him in the presence of many guests."
233,示,5.0,5,237,2.0,"['ジ', 'シ']",['しめ.す'],"['show', 'indicate', 'point out', 'express', 'display']",彼は例を示して自分の理論を説明した。,He illustrated his theory with examples.
234,変,4.0,9,238,2.0,['ヘン'],"['か.わる', 'か.わり', 'か.える']","['unusual', 'change', 'strange']",私の説明は変に聞こえるかもしれない。,My explanation may sound strange.
235,打,3.0,5,239,2.0,"['ダ', 'ダース']","['う.つ', 'う.ち-', 'ぶ.つ']","['strike', 'hit', 'knock', 'pound', 'dozen']",この商品管理伝票をこのタイムスタンプに差し込むと日付と時刻が打刻されます。,"Place this merchandise slip into the time stamp, and the date and time will be impressed."
236,男,1.0,7,240,4.0,"['ダン', 'ナン']","['おとこ', 'お']",['male'],いい男見つけたね。,You got yourself a nice guy.
237,基,5.0,11,241,2.0,['キ'],"['もと', 'もとい']","['fundamentals', 'radical (chem)', 'counter for machines', 'foundation']",六基あるうちの一つ、三号エレベータだ。,"One of six, it was elevator number three."
238,各,4.0,6,243,2.0,['カク'],['おのおの'],"['each', 'every', 'either']",各工場や研究所の従業員すべてが登録情報の抄録文書が検索できるシステムです。,The system allows employees of each factory and research lab to search stored abstracts.
239,始,3.0,8,244,3.0,['シ'],"['はじ.める', '-はじ.める', 'はじ.まる']","['commence', 'begin']",そのおかげで、僕は「始（はじめ）」という名前を与えられることになった。,"Owing to this, I was given the name Hajime."
240,島,3.0,10,245,2.0,['トウ'],['しま'],['island'],自然の温泉がある島に住んでいるなんて、日本人は幸せです。,Japanese people are fortunate to live on an island with natural hot springs.
241,直,2.0,8,246,2.0,"['チョク', 'ジキ', 'ジカ']","['ただ.ちに', 'なお.す', '-なお.す', 'なお.る', 'なお.き', 'す.ぐ']","['straightaway', 'honesty', 'frankness', 'fix', 'repair']",ファイルへの直リンだけはやめた方がいいです。URLの最初だけ全角ｈｔｔｐにするとか、ちょっと工夫しよう。,It's a good idea to stop using direct-links to files. Use a trick like starting the URL with double-width h t t p or something.
242,両,3.0,6,247,2.0,['リョウ'],"['てる', 'ふたつ']","['both', 'old Japanese coin', 'counter for carriages (e.g.', 'in a train)', 'two']",列車の後部３両はひどい損傷を受けた。,The last three coaches of the train were badly damaged.
243,朝,2.0,12,248,3.0,['チョウ'],['あさ'],"['morning', 'dynasty', 'regime', 'epoch', 'period', '(North) Korea']",明日、朝の仕事は休むつもりです。,I'm taking tomorrow morning off from work.
244,革,6.0,9,249,2.0,['カク'],['かわ'],"['leather', 'skin', 'reform', 'become serious']",くつは革でつくられている。,The shoes are made of leather.
245,価,5.0,8,250,2.0,"['カ', 'ケ']",['あたい'],"['value', 'price']",覚える価値さえない。,Not worth the remembered value.
246,式,3.0,6,251,2.0,['シキ'],[],"['style', 'ceremony', 'rite', 'function', 'method', 'system', 'form', 'expression']",現在の首相はその式に出席してはいなかった。,The present prime minister was not present at the ceremony.
247,確,5.0,15,252,2.0,"['カク', 'コウ']","['たし.か', 'たし.かめる']","['assurance', 'firm', 'tight', 'hard', 'solid', 'confirm', 'clear', 'evident']",確約は出来ないけど、何とかやってみましょう。,"I can't promise anything, but I'll do my best."
248,村,1.0,7,253,3.0,['ソン'],['むら'],"['village', 'town']",ある村に一人の老人が住んでいた。,There lived an old man in a village.
249,提,5.0,12,254,1.0,"['テイ', 'チョウ', 'ダイ']",['さ.げる'],"['propose', 'take along', 'carry in hand']",もう宿題を提出しましたか。,Have you handed in your homework?
250,運,3.0,12,255,3.0,['ウン'],['はこ.ぶ'],"['carry', 'luck', 'destiny', 'fate', 'lot', 'transport', 'progress', 'advance']",運がいいね。,It's a godsend.
251,終,3.0,11,256,3.0,['シュウ'],"['お.わる', '-お.わる', 'おわ.る', 'お.える', 'つい', 'つい.に']","['end', 'finish']",私は１週間たてば、すなわち５月５日にその仕事を終えます。,"I'll finish the work in a week, that is, on May fifth."
252,挙,4.0,10,257,1.0,['キョ'],"['あ.げる', 'あ.がる', 'こぞ.る']","['raise', 'plan', 'project', 'behavior', 'actions']",選挙で小泉氏はすでに安全圏に入った。,Mr Koizumi is now sure of election.
253,果,4.0,8,258,2.0,['カ'],"['は.たす', 'はた.す', '-は.たす', 'は.てる', '-は.てる', 'は.て']","['fruit', 'reward', 'carry out', 'achieve', 'complete', 'end', 'finish', 'succeed']",結果次第では、両社に対して2月以来の行政指導が行われる。,Depending on the results both companies may be put under administrative guidance from February.
254,西,2.0,6,259,4.0,"['セイ', 'サイ', 'ス']",['にし'],"['west', 'Spain']",この町は西も東も分かりません。,I'm quite a stranger in this town.
255,勢,5.0,13,260,2.0,"['セイ', 'ゼイ']","['いきお.い', 'はずみ']","['forces', 'energy', 'military strength']",全員がレストランで勢揃いしていた。,Everyone was gathered in the restaurant.
256,減,5.0,12,261,2.0,['ゲン'],"['へ.る', 'へ.らす']","['dwindle', 'decrease', 'reduce', 'decline', 'curtail', 'get hungry']",いい加減にしろよ。,Cut it out.
257,台,2.0,5,262,3.0,"['ダイ', 'タイ']","['うてな', 'われ', 'つかさ']","['pedestal', 'a stand', 'counter for machines and vehicles']",あの車は３台の中で一番美しい。,That car is the most beautiful of the three.
258,広,2.0,5,263,3.0,['コウ'],"['ひろ.い', 'ひろ.まる', 'ひろ.める', 'ひろ.がる', 'ひろ.げる']","['wide', 'broad', 'spacious']",そのうわさはすぐ広まった。,The rumors spread soon abroad.
259,容,5.0,10,264,2.0,['ヨウ'],['い.れる'],"['contain', 'form', 'looks']",箱の内容はラベルに表示されている。,The contents of the box are listed on the label.
260,必,4.0,5,265,2.0,['ヒツ'],['かなら.ず'],"['invariably', 'certain', 'inevitable']",今や別の規則を加える必要がある。,It is now necessary to add another rule.
261,応,5.0,7,266,2.0,"['オウ', 'ヨウ', '-ノウ']","['あた.る', 'まさに', 'こた.える']","['apply', 'answer', 'yes', 'OK', 'reply', 'accept']",あなたは否でも応でも行かなければならない。,"You must go, like it or lump it."
262,演,5.0,14,267,2.0,['エン'],[],"['performance', 'act', 'play', 'render', 'stage']",ジェーンは十一歳の時からずっと映画に出演している。,Jane has been acting in films since she was eleven.
263,電,2.0,13,268,4.0,['デン'],[],['electricity'],電気を消していただけませんか。,Could you turn off the lights?
264,歳,8.0,13,269,2.0,"['サイ', 'セイ']","['とし', 'とせ', 'よわい']","['year-end', 'age', 'occasion', 'opportunity']",祖父は９０歳でとても元気です。,My grandfather is 90 years old and very lively.
265,住,3.0,7,270,3.0,"['ジュウ', 'ヂュウ', 'チュウ']","['す.む', 'す.まう', '-ず.まい']","['dwell', 'reside', 'live', 'inhabit']",第二が周辺環境との親和性であり、最小の廃棄物、自然エネルギーの利用等、周辺の生態と調和した住空間を形成することである。,"The second is the affinity with environment. By utilizing natural energy and reducing wastes, we have to make houses which harmonize with ecology."
266,争,4.0,6,271,2.0,['ソウ'],"['あらそ.う', 'いか.でか']","['contend', 'dispute', 'argue']",陪審団による有罪評決が大論争の引き金となった。,The jury's guilty verdict gave rise to widespread debate.
267,談,3.0,15,272,2.0,['ダン'],[],"['discuss', 'talk']",僕には相談相手がない。,I have no one to turn to for advice.
268,能,5.0,10,273,2.0,['ノウ'],"['よ.く', 'あた.う']","['ability', 'talent', 'skill', 'capacity']",能は伝統的な日本の芸術である。,Noh is a traditional Japanese art.
269,無,4.0,12,274,2.0,"['ム', 'ブ']",['な.い'],"['nothingness', 'none', '""aint""', 'nothing', 'nil', 'not']",無から有は生じない。,Nothing comes from nothing.
270,再,5.0,6,275,2.0,"['サイ', 'サ']",['ふたた.び'],"['again', 'twice', 'second time']",予約の再確認がまた必要ですか。,Do I need to reconfirm?
271,位,4.0,7,276,2.0,['イ'],"['くらい', 'ぐらい']","['rank', 'grade', 'throne', 'crown', 'about', 'some']",どの位したら会は始まるか。,How soon will the meeting begin?
272,置,4.0,13,277,2.0,['チ'],"['お.く', '-お.き']","['placement', 'put', 'set', 'deposit', 'leave behind', 'keep', 'employ', 'pawn']",重体の赤ちゃんは医者の注意深い監視下に置かれていた。,The very sick baby was under careful observation by the doctors.
273,企,8.0,6,278,1.0,['キ'],"['くわだ.てる', 'たくら.む']","['undertake', 'scheme', 'design', 'attempt', 'plan']",日本企業は全ての大陸に工場を設立しているし、日本の銀行は世界の主要な経済計画の大国財政的な援助をしている。,"Japanese companies have set up factories on every continent, and Japanese banks help finance many of the world's major economic programs."
274,真,3.0,10,279,3.0,['シン'],"['ま', 'ま-', 'まこと']","['true', 'reality', 'Buddhist sect']",アジの真の美味しさは時間限定。,The true taste of horse mackerel does not last long.
275,流,3.0,10,280,2.0,"['リュウ', 'ル']","['なが.れる', 'なが.れ', 'なが.す', '-なが.す']","['current', 'a sink', 'flow', 'forfeit']",これは加藤清正が担当して築いたので、とくに「清正流三日月石垣」といわれている。,"This wall is also called the Kiyomasa-style Crescent Stone Wall, after the famous general and engineer Kiyomasa Kato, who was in charge of its construction."
276,格,5.0,10,281,2.0,"['カク', 'コウ', 'キャク', 'ゴウ']",[],"['status', 'rank', 'capacity', 'character', 'case (law', 'grammar)']",thatには、主格、目的格の２つしかなく、格による形の変化はない。,"'That' has only the two cases, nominative and objective, and it does not inflect depending on the case."
277,有,3.0,6,282,3.0,"['ユウ', 'ウ']",['あ.る'],"['possess', 'have', 'exist', 'happen', 'occur', 'approx']",無から有は生じない。,Nothing comes from nothing.
278,疑,6.0,14,283,2.0,['ギ'],['うたが.う'],"['doubt', 'distrust', 'be suspicious', 'question']",ツベルクリン反応は疑陽性でした。,The tuberculin reaction was pseudopositive.
279,口,1.0,3,284,4.0,"['コウ', 'ク']",['くち'],['mouth'],口に食べ物を入れたまましゃべるな。,Don't speak with your mouth full.
280,過,5.0,12,285,2.0,['カ'],"['す.ぎる', 'す.ごす', 'あやま.ち', 'あやま.つ', 'よぎ.る', 'よ.ぎる']","['overdo', 'exceed', 'go beyond', 'error']",過ぎたるはなお及ばざるがごとし。,Too much water drowned the miller.
281,局,3.0,7,286,2.0,['キョク'],['つぼね'],"['bureau', 'board', 'office', 'affair', 'conclusion', 'court lady', 'lady-in-waiting', 'her apartment']",この局に当たる者は無いか。,Is there no one who can tackle this situation?
282,少,2.0,4,287,4.0,['ショウ'],"['すく.ない', 'すこ.し']","['few', 'little']",私たちのクラスは少人数のクラスである。,Our class is a small one.
283,放,3.0,8,288,2.0,['ホウ'],"['はな.す', '-っぱな.し', 'はな.つ', 'はな.れる', 'こ.く', 'ほう.る']","['set free', 'release', 'fire', 'shoot', 'emit', 'banish', 'liberate']",放っておいて。,Leave me alone!
284,税,5.0,12,289,2.0,['ゼイ'],[],"['tax', 'duty']",多くの消費者は消費税反対に立ち上がった。,Many consumers rose up against the consumption tax.
285,検,5.0,12,290,2.0,['ケン'],['しら.べる'],"['examination', 'investigate']",われわれは英検２級に受かるために勉強しているのです。,We are studying in order to pass the STEP 2nd grade test.
286,藤,8.0,18,291,1.0,"['トウ', 'ドウ']",['ふじ'],['wisteria'],藤さんがあとに４人の子を残して死にました。,"Mr. Fuji died, leaving 4 children behind him."
287,町,1.0,7,292,3.0,['チョウ'],['まち'],"['town', 'village', 'block', 'street']",その町は人口が多い。,The city has a large population.
288,常,5.0,11,293,2.0,['ジョウ'],"['つね', 'とこ-']","['usual', 'ordinary', 'normal', 'common', 'regular', 'continually', 'always', 'long-lasting']",あやまちを犯すのは人の常、ゆるすのは神。,"To err is human, to forgive divine."
289,校,1.0,10,294,4.0,"['コウ', 'キョウ']",[],"['exam', 'school', 'printing', 'proof', 'correction']",我が校は彼の授業法を採用した。,Our school adopted his teaching methods.
290,料,4.0,10,295,3.0,['リョウ'],[],"['fee', 'materials']",窓の破損料を請求された。,They charged me for the broken window.
291,沢,8.0,7,296,1.0,['タク'],"['さわ', 'うるお.い', 'うるお.す', 'つや']","['swamp', 'marsh', 'brilliance', 'grace']",夏は汗をいっぱいかくので沢山水を飲まなくてはなりません。,In summer it is essential to drink lots of water when we sweat.
292,裁,6.0,12,297,1.0,['サイ'],"['た.つ', 'さば.く']","['tailor', 'judge', 'decision', 'cut out (pattern)']",民衆はまるで羊のように独裁者の後に従った。,The people followed the dictator like so many sheep.
293,状,5.0,7,298,2.0,['ジョウ'],[],"['status quo', 'conditions', 'circumstances', 'form', 'appearance']",彼は府警から感謝状を受け取った。,He received a letter of appreciation from the prefectural police.
294,工,2.0,3,299,3.0,"['コウ', 'ク', 'グ']",[],"['craft', 'construction', 'katakana e radical (no. 48)']",熟練した機械工はかなりの賃金を稼ぐ。,A skilled mechanic earns decent wages.
295,建,4.0,9,300,3.0,"['ケン', 'コン']","['た.てる', 'た.て', '-だ.て', 'た.つ']",['build'],３０階建の超高層ビルが突然爆発炎上した。,"All of a sudden, the thirty-story skyscraper went up in flames."
296,語,2.0,14,301,4.0,['ゴ'],"['かた.る', 'かた.らう']","['word', 'speech', 'language']",５０語以内で書きなさい。,Write in less than 50 words.
297,球,3.0,11,302,2.0,['キュウ'],['たま'],"['ball', 'sphere']",地球は球の形をしている。,The earth is shaped like a sphere.
298,営,5.0,12,303,2.0,['エイ'],"['いとな.む', 'いとな.み']","['camp', 'perform', 'build', 'conduct (business)']",社屋や従業員に被害はなく、平常通り営業している。,"There was no damage to the office, or workers, and we're in business as usual."
299,空,1.0,8,304,4.0,['クウ'],"['そら', 'あ.く', 'あ.き', 'あ.ける', 'から', 'す.く', 'す.かす', 'むな.しい']","['empty', 'sky', 'void', 'vacant', 'vacuum']",空は青い。,The sky is blue.
300,職,5.0,18,305,2.0,"['ショク', 'ソク']",[],"['post', 'employment', 'work']",彼は職を失ってしまった。,He was thrown out of work.
301,証,5.0,12,306,1.0,['ショウ'],['あかし'],"['evidence', 'proof', 'certificate']",しかし、あなた方は私たちの証を受け入れません。,But still you people do not accept our testimony.
302,土,1.0,3,307,4.0,"['ド', 'ト']",['つち'],"['soil', 'earth', 'ground', 'Turkey']",やせた土を肥沃で元気な土に改良します！,(This product will) make infertile soil rich and healthy.
303,与,8.0,3,308,2.0,['ヨ'],"['あた.える', 'あずか.る', 'くみ.する', 'ともに']","['bestow', 'participate in', 'give', 'award', 'impart', 'provide', 'cause', 'gift', 'godsend']",昼間は太陽が、そして夜は月が光を与えてくれる。,"The sun gives light by day, and the moon by night."
304,急,3.0,9,309,3.0,['キュウ'],"['いそ.ぐ', 'いそ.ぎ', 'せ.く']","['hurry', 'emergency', 'sudden', 'steep']",大雨で川の水が急に増えた。,The river swelled rapidly because of the heavy rain.
305,止,2.0,4,310,3.0,['シ'],"['と.まる', '-ど.まり', 'と.める', '-と.める', '-ど.め', 'とど.める', 'とど.め', 'とど.まる', 'や.める', 'や.む', '-や.む', 'よ.す', '-さ.す', '-さ.し']","['stop', 'halt']",列車が止まらないうちに降りてはいけない。,You must not get off the train before it stops.
306,送,3.0,9,311,3.0,['ソウ'],['おく.る'],"['escort', 'send']",この小包をカナダへ送りたいのですが。,I'd like to mail this package to Canada.
307,援,8.0,12,312,1.0,['エン'],[],"['abet', 'help', 'save']",少しの援助も私にはなかった。,Little help did I get.
308,供,6.0,8,313,2.0,"['キョウ', 'ク', 'クウ', 'グ']","['そな.える', 'とも', '-ども']","['submit', 'offer', 'present', 'serve (meal)', 'accompany']",民間の未開墾地がなかったため、国有地が開拓用に供された。,"Because there was no private uncultivated land available, government-owned sites were offered for cultivation."
309,可,5.0,5,314,2.0,"['カ', 'コク']","['-べ.き', '-べ.し']","['can', 'passable', '""mustnt""', 'should not', 'do not']",数学は何とか可を取った。,I somehow got a passing grade in mathematics.
310,役,3.0,7,315,2.0,"['ヤク', 'エキ']",[],"['duty', 'war', 'campaign', 'drafted labor', 'office', 'service', 'role']",この役のせいで仕事が来なくなった。,I'm not getting any work because of this role.
311,構,5.0,14,316,2.0,['コウ'],"['かま.える', 'かま.う']","['posture', 'build', 'pretend']",いかほどの金額でも結構です。,Any amount of money will do.
312,木,1.0,4,317,4.0,"['ボク', 'モク']","['き', 'こ-']","['tree', 'wood']",紙は木から作られる。,Paper is made from wood.
313,割,6.0,12,318,2.0,['カツ'],"['わ.る', 'わり', 'わ.り', 'わ.れる', 'さ.く']","['proportion', 'comparatively', 'divide', 'cut', 'separate', 'split']",国土の８割近くが山です。,Nearly 80 percent of the land is mountains.
314,聞,2.0,14,319,4.0,"['ブン', 'モン']","['き.く', 'き.こえる']","['hear', 'ask', 'listen']",「私はおじいさんからはじめて聞きました」,"""I heard about it for the first time from the old man."""
315,身,3.0,7,320,2.0,['シン'],['み'],"['somebody', 'person', '""ones station in life""']",こっちの身にもなってよ。,Put yourself in my position.
316,費,5.0,12,321,2.0,['ヒ'],"['つい.やす', 'つい.える']","['expense', 'cost', 'spend', 'consume', 'waste']",売上高広告費比率は業種によって大きく異なる。,Advertising sales ratios differ widely according to the type of business.
317,付,4.0,5,322,2.0,['フ'],"['つ.ける', '-つ.ける', '-づ.ける', 'つ.け', 'つ.け-', '-つ.け', '-づ.け', '-づけ', 'つ.く', '-づ.く', 'つ.き', '-つ.き', '-つき', '-づ.き', '-づき']","['adhere', 'attach', 'refer to', 'append']",１月１０日付の電子メールを受け取りましたか。,Did you receive my e-mail of January 10?
318,施,8.0,9,323,1.0,"['シ', 'セ']",['ほどこ.す'],"['give', 'bestow', 'perform', 'alms']",ドアが施錠されていて、私達は中へ入れなかった。,The door was locked and we couldn't get in.
319,切,2.0,4,324,3.0,"['セツ', 'サイ']","['き.る', '-き.る', 'き.り', '-き.り', '-ぎ.り', 'き.れる', '-き.れる', 'き.れ', '-き.れ', '-ぎ.れ']","['cut', 'cutoff', 'be sharp']",彼に話すのが親切というものだ。,To talk to him is kindness.
320,由,3.0,5,325,2.0,"['ユ', 'ユウ', 'ユイ']","['よし', 'よ.る']","['wherefore', 'a reason']",何が起こるか知る由もない。,There is no knowing what may happen.
321,説,4.0,14,326,3.0,"['セツ', 'ゼイ']",['と.く'],"['opinion', 'theory', 'explanation', 'rumor']",私はこの説を信じることは出来ない。,I can't accept this theory.
322,転,3.0,11,327,3.0,['テン'],"['ころ.がる', 'ころ.げる', 'ころ.がす', 'ころ.ぶ', 'まろ.ぶ', 'うたた', 'うつ.る', 'くる.めく']","['revolve', 'turn around', 'change']",小学５年の息子が静岡から名古屋の小学校に転入しました。,My fifth-year junior school son has transferred into a school in Nagoya from Shizuoka.
323,食,2.0,9,328,4.0,"['ショク', 'ジキ']","['く.う', 'く.らう', 'た.べる', 'は.む']","['eat', 'food']",例外は中国で、おそらく平らなパンは食されていなかった。,"The exception was in China, where flat bread was probably not eaten."
324,比,5.0,4,329,2.0,['ヒ'],['くら.べる'],"['compare', 'race', 'ratio', 'Philippines']",日本の貿易依存度はＧＮＰ比としては必ずしもそう高くない。,Japan's dependence on foreign trade is not necessarily very high as a percentage of GNP.
325,難,6.0,18,330,2.0,['ナン'],"['かた.い', '-がた.い', 'むずか.しい', 'むづか.しい', 'むつか.しい', '-にく.い']","['difficult', 'impossible', 'trouble', 'accident', 'defect']",死んだフリして難をのがれたそうです。,He says he avoided the danger by playing dead.
326,防,5.0,7,331,2.0,['ボウ'],['ふせ.ぐ'],"['ward off', 'defend', 'protect', 'resist']",国防のため大きな額が計上された。,A considerable amount of money was appropriated for the national defense.
327,補,6.0,12,332,2.0,['ホ'],['おぎな.う'],"['supplement', 'supply', 'make good', 'offset', 'compensate', 'assistant', 'learner']",彼は立候補した。,He stood for an election.
328,車,1.0,7,333,4.0,['シャ'],['くるま'],['car'],この車はわたしのだ。,This car is mine.
329,優,6.0,17,334,2.0,"['ユウ', 'ウ']","['やさ.しい', 'すぐ.れる', 'まさ.る']","['tenderness', 'excel', 'surpass', 'actor', 'superiority', 'gentleness']",新任の取締役として江崎優を紹介いたします。,"You will be interested to know that we have just introduced our new Managing Director, Mr Masaru Ezaki."
330,夫,4.0,4,335,2.0,"['フ', 'フウ', 'ブ']","['おっと', 'それ']","['husband', 'man']",彼女は夫の病気をとても心配した。,Her husband's illness caused her great anxiety.
331,研,3.0,9,336,3.0,['ケン'],['と.ぐ'],"['polish', 'study of', 'sharpen']",彼の研究はついに実を結んだ。,His research bore fruit in the end.
332,収,6.0,4,337,2.0,['シュウ'],"['おさ.める', 'おさ.まる']","['income', 'obtain', 'reap', 'pay', 'supply', 'store']",サンプルは世界２００の医療機関から収集された。,The samples were collected from two hundred medical institutions all over the world.
333,断,5.0,11,338,2.0,['ダン'],"['た.つ', 'ことわ.る', 'さだ.める']","['severance', 'decline', 'refuse', 'apologize', 'warn', 'dismiss', 'prohibit', 'decision', 'judgement', 'cutting']",もし万一再び失敗すると、私はその計画を断念するだろう。,"If I should fail again, I would give up the plan."
334,井,4.0,4,339,1.0,"['セイ', 'ショウ']",['い'],"['well', 'well crib', 'town', 'community']",世間知らずにもほどがある。井の中の蛙大海を知らず、ということかね。,I can't believe you're so clueless. You're like a babe in the woods.
335,南,2.0,9,341,4.0,"['ナン', 'ナ']",['みなみ'],['south'],鳥は冬になると南へ飛んでいく。,Birds fly south in winter.
336,石,1.0,5,342,2.0,"['セキ', 'シャク', 'コク']",['いし'],['stone'],この石は５トンの重さがある。,This stone weighs five tons.
337,足,1.0,7,343,4.0,['ソク'],"['あし', 'た.りる', 'た.る', 'た.す']","['leg', 'foot', 'be sufficient', 'counter for pairs of footwear']",右の足が痛いです。,My right leg hurts.
338,違,8.0,13,344,2.0,['イ'],"['ちが.う', 'ちが.い', 'ちが.える', '-ちが.える', 'たが.う', 'たが.える']","['difference', 'differ']",日本人でも日本語を話すとき間違いをすることがある。,Even Japanese can make mistakes when they speak Japanese.
339,消,3.0,10,345,2.0,['ショウ'],"['き.える', 'け.す']","['extinguish', 'blow out', 'turn off', 'neutralize', 'cancel']",電気を消していただけませんか。,Could you turn off the lights?
340,境,5.0,14,346,2.0,"['キョウ', 'ケイ']",['さかい'],"['boundary', 'border', 'region']",その国は２国と境を接している。,The country borders on two other countries.
341,神,3.0,9,347,2.0,"['シン', 'ジン']","['かみ', 'かん-', 'こう-']","['gods', 'mind', 'soul']",神は存在すると思いますか。,Do you believe that God exists?
342,番,2.0,12,348,2.0,['バン'],['つが.い'],"['turn', 'number in a series']",６１番のバスに乗りました。,I took the 61 bus.
343,規,5.0,11,349,2.0,['キ'],[],"['standard', 'measure']",今や別の規則を加える必要がある。,It is now necessary to add another rule.
344,術,5.0,11,350,2.0,['ジュツ'],['すべ'],"['art', 'technique', 'skill', 'means', 'trick', 'resources', 'magic']",「ヒトラーの大衆扇動術」,Hitler’s Technique for Riling Up the Masses
345,護,5.0,20,351,1.0,['ゴ'],['まも.る'],"['safeguard', 'protect']",護教論には興味ないんだ。,I'm not interested in apologetics.
346,展,6.0,10,352,2.0,['テン'],[],"['unfold', 'expand']",明治天皇百年祭記念展,Exhibition to Commemorate the 100th Anniversary of (the Death of) Emperor Meiji
347,態,5.0,14,353,1.0,['タイ'],['わざ.と'],"['attitude', 'condition', 'figure', 'appearance', 'voice (of verbs)']",彼の健康状態はよくない。,He is in a poor state of health.
348,導,5.0,15,354,2.0,['ドウ'],['みちび.く'],"['guidance', 'leading', 'conduct', 'usher']",結果次第では、両社に対して2月以来の行政指導が行われる。,Depending on the results both companies may be put under administrative guidance from February.
349,鮮,8.0,17,355,1.0,['セン'],['あざ.やか'],"['fresh', 'vivid', 'clear', 'brilliant', 'Korea']",このトラックは青森から東京まで生鮮食料品を運ぶ。,This truck transports fresh food from Aomori to Tokyo.
350,備,5.0,12,356,2.0,['ビ'],"['そな.える', 'そな.わる', 'つぶさ.に']","['equip', 'provision', 'preparation']",彼は旅行の準備に忙しかった。,He was busy getting ready for his journey.
351,宅,6.0,6,357,2.0,['タク'],[],"['home', 'house', 'residence', 'our house', 'my husband']",私の車でお宅まで送らせましょう。,I'll send you home in my car.
352,害,4.0,10,358,2.0,['ガイ'],[],"['harm', 'injury']",害になる薬もある。,Some medicine does us harm.
353,配,3.0,10,359,2.0,['ハイ'],['くば.る'],"['distribute', 'spouse', 'exile', 'rationing']",周囲が築地塀で囲まれ、その中心に正殿、東西前方に脇殿が配されている。,The area around the government office was enclosed by an earthen wall with a tiled roof. At the heart of the enclosure lay the main government office building. The secondary government office buildings were on the east and west sides in front of the main building.
354,副,4.0,11,360,2.0,['フク'],[],"['vice-', 'assistant', 'aide', 'duplicate', 'copy']",社長は来ないで代わりに副社長をよこした。,"The president did not come, but sent the vice-president in his stead."
355,算,2.0,14,361,2.0,['サン'],['そろ'],"['calculate', 'divining', 'number', 'abacus', 'probability']",重点の置かれた予算項目は教育、社会保障、そのほかの生活関連分野である。,"Budget items that received priority are education, social security and other fields that are closely related to people's lives."
356,視,6.0,11,362,1.0,['シ'],['み.る'],"['inspection', 'regard as', 'see', 'look at']",このヌードのポスターには若者の視覚に訴えるものがある。,This nude poster appeals visually to the young.
357,条,5.0,7,363,2.0,"['ジョウ', 'チョウ', 'デキ']","['えだ', 'すじ']","['article', 'clause', 'counter for articles', 'clauses', 'paragraphs', 'etc.', 'twig', 'item', 'stripe', 'streak']",第八十八条：すべて皇室財産は、国に属する。,Paragraph 818: All property of the Imperial Household shall belong to the State.
358,幹,5.0,13,364,1.0,['カン'],['みき'],"['tree trunk', 'main part', 'talent', 'capability']",きつつきは、長く尖ったくちばしで、木の幹をつついて、中にいる虫を食べます。,Woodpeckers peck tree trunks with their long pointed beaks and eat insects found there.
359,独,5.0,9,365,2.0,"['ドク', 'トク']",['ひと.り'],"['single', 'alone', 'spontaneously', 'Germany']",この種の慣習はアジアの国々に独特のものだと思います。,I think this kind of custom is unique to Asian countries.
360,警,6.0,19,366,2.0,['ケイ'],['いまし.める'],"['admonish', 'commandment']",警戒するに越したことはない。,You can't be too vigilant.
361,宮,3.0,10,367,1.0,"['キュウ', 'グウ', 'ク', 'クウ']",['みや'],"['Shinto shrine', 'constellations', 'palace', 'princess']",そして、宮の中に、牛や羊や鳩を売るもの達と両替人達が座っているのをご覧になった。,"In the temple courts he found men selling cattle, sheep and doves, and others sitting at tables."
